NAME,COUNTRY,PROVIDER,ADDRESSS
SYD6 (Iseek-KDC GHDC),australia,Amazon AWS,"5 Broadcast Way, Artarmon NSW, Australia"
PE1 Perth Data Center,australia,Equinix,"3 Tully Road, Perth WA 6004, Australia"
CDC Laverton Campus,australia,CDC Data Centres,"Laverton Victoria, Australia"
SY8 Sydney Data Center,australia,Equinix,"74 Mentmore Avenue, Rosebery NSW 2018, Australia"
SY2 Mascot Data Center,australia,Equinix,"639 Gardeners Road, Mascot NSW, Australia"
S2 Sydney Data Center,australia,NexTDC,"6-8 Giffnock Avenue, Macquarie Park NSW, Australia"
Melbourne,australia,Vultr,"Melbourne VIC, Australia"
Fyshwick Campus,australia,CDC Data Centres,"11 Tom Price Street, Fyshwick ACT 2609, Australia"
Laverton Campus,australia,CDC Data Centres,"Leakes Rd, Laverton North VIC 3026, Australia"
Townsville Data Centre,australia,iSeek,"Garbutt Townsville, QLD 4814, Australia"
"AAPT, Richmond, Australia",australia,AAPT,"3043 Burnley St Service Road, Richmond Victoria, Australia"
Beard Campus,australia,CDC Data Centres,"Australia Post - Weston Creek Parcel Lockers, Trenerry Street, Weston Australian Capital Territory, Australia"
Vocus Group 55 Crockford,australia,Vocus Communications,"55 Crockford Street, Melbourne VIC, Australia"
Woolloongabba Data Centre,australia,iSeek,"100 Ipswich Road, Woolloongabba Brisbane, Queensland 4102, Australia"
Micron21 Data Centre,australia,Micron21,"7 Eastspur Court, Kilsyth South VIC 3137, Australia"
MEL1 Melbourne Data Center,australia,Zenlayer,"578 Lorimer Street, Port Melbourne Victoria 3207, Australia"
AWS SYD - 148 Turner,australia,Amazon AWS,"148 Turner Rd, Smeaton Grange NSW 2567, Australia"
PER01B Perth Data Center,australia,Stack Infrastructure,"92 Windsor Rd, Wangara WA 6065, Australia"
P2 Perth Data Center,australia,NexTDC,"11 Newcastle Street, Perth WA, Australia"
CAN01A Canberra Data Center,australia,Stack Infrastructure,"56 Sheppard Street, Hume ACT, Australia"
"AAPT, Fortitude Valley, Australia",australia,AAPT,"Australian Landlord Insurance, Level 1 Wickham Street, Fortitude Valley Queensland 4006, Australia"
