Name,Quantity,Discount,Price,Link
Beetroot,1 kg,24% OFF,₹153.52,bigbasket.com/pd/10000045/fresho-beetroot-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=30&t_s=Beetroot
Baby Apple Shimla,N/A,24% OFF,₹191.52,bigbasket.com/pd/40134281/fresho-baby-apple-shimla-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=31&t_s=Baby%2520Apple%2520Shimla
Bottle Gourd,N/A,29% OFF,₹43.5,bigbasket.com/pd/20000745/fresho-bottle-gourd-1-pc/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=32&t_s=Bottle%2520Gourd
Drumstick/Moringa,500 g,24% OFF,₹123.12,bigbasket.com/pd/10000110/fresho-drumstickmoringa-500-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=33&t_s=Drumstick%252FMoringa
Ginger - Organically Grown,250 g,24% OFF,₹28.88,bigbasket.com/pd/40023480/fresho-ginger-organically-grown-250-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=34&t_s=Ginger%2520-%2520Organically%2520Grown
Carrot - Ooty,500 g,24% OFF,₹41.8,bigbasket.com/pd/10000271/fresho-carrot-ooty-500-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=35&t_s=Carrot%2520-%2520Ooty
Papaya - Small,N/A,20% OFF,₹64.8,bigbasket.com/pd/40329343/fresho-papaya-small-1-pc/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=36&t_s=Papaya%2520-%2520Small
"Chilli - Green, Organically Grown",100 g,24% OFF,₹9.88,bigbasket.com/pd/50000511/fresho-chilli-green-organically-grown-100-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=37&t_s=Chilli%2520-%2520Green%252C%2520Organically%2520Grown
"Banana - Robusta, Small",N/A,40% OFF,₹38,bigbasket.com/pd/40179390/fresho-baby-banana-robusta-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=38&t_s=Banana%2520-%2520Robusta%252C%2520Small
Blueberry,N/A,38% OFF,₹199,bigbasket.com/pd/30009286/fresho-blueberry-125-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=39&t_s=Blueberry
Potato - Organically Grown,N/A,20% OFF,₹53.6,bigbasket.com/pd/40023476/fresho-potato-organically-grown-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=40&t_s=Potato%2520-%2520Organically%2520Grown
"Mint Leaves - Cleaned, without roots",1 kg,24% OFF,₹96.52,bigbasket.com/pd/10000329/fresho-mint-leaves-cleaned-without-roots-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=41&t_s=Mint%2520Leaves%2520-%2520Cleaned%252C%2520without%2520roots
Broccoli,N/A,20% OFF,₹72.8,bigbasket.com/pd/10000062/fresho-broccoli-1-pc/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=42&t_s=Broccoli
Pomegranate - Premium,N/A,20% OFF,₹142.4,bigbasket.com/pd/40079955/fresho-pomegranate-premium-2-pcs/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=43&t_s=Pomegranate%2520-%2520Premium
Varikatri Brinjal,1 kg,24% OFF,₹161.12,bigbasket.com/pd/10000058/fresho-brinjal-varikatri-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=44&t_s=Varikatri%2520Brinjal
Coconut - Medium,N/A,24% OFF,₹57.76,bigbasket.com/pd/10000093/fresho-coconut-medium-1-pc/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=45&t_s=Coconut%2520-%2520Medium
Brinjal - Bottle Shape,500 g,24% OFF,₹25.08,bigbasket.com/pd/10000054/fresho-brinjal-bottle-shape-500-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=46&t_s=Brinjal%2520-%2520Bottle%2520Shape
Premium Tender Coconut,N/A,23% OFF,₹60.5,bigbasket.com/pd/40272798/fresho-tender-coconut-premium-king-coconut-1-pcs/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=47&t_s=Premium%2520Tender%2520Coconut
Cut Roses,500 g,24% OFF,₹231.04,bigbasket.com/pd/40054181/fresho-cut-roses-500-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=48&t_s=Cut%2520Roses
Radish - White,500 g,57% OFF,₹10,bigbasket.com/pd/10000166/fresho-radish-white-500-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=1&t_s=Radish+-+White
"Banana - Robusta, Small",N/A,30% OFF,₹29.5,bigbasket.com/pd/40179391/fresho-baby-banana-robusta-500-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=2&t_s=Banana+-+Robusta%252C+Small
Marigold Flower - Yellow,500 g,24% OFF,₹89.68,bigbasket.com/pd/20001032/fresho-marigold-flower-yellow-500-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=3&t_s=Marigold+Flower+-+Yellow
Marigold Flower - Orange,500 g,24% OFF,₹91.96,bigbasket.com/pd/20001034/fresho-marigold-flower-orange-500-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=4&t_s=Marigold%2520Flower%2520-%2520Orange
Beetroot - Organically Grown,500 g,24% OFF,₹23.95,bigbasket.com/pd/40022635/fresho-beetroot-organically-grown-500-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=5&t_s=Beetroot%2520-%2520Organically%2520Grown
Cabbage,N/A,20% OFF,₹25.6,bigbasket.com/pd/10000066/fresho-cabbage-1-pc/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=6&t_s=Cabbage
Mini Orange Imported,500 g,24% OFF,₹190.95,bigbasket.com/pd/20003956/fresho-baby-orange-500-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=7&t_s=Mini%2520Orange%2520Imported
Coccinia,1 kg,24% OFF,₹62.32,bigbasket.com/pd/10000089/fresho-coccinia-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=8&t_s=Coccinia
Sweet Potato,500 g,36% OFF,₹24.5,bigbasket.com/pd/10000194/fresho-sweet-potato-500-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=9&t_s=Sweet%2520Potato
"Kiwi - Green, Imported",2 pcs,48% OFF,₹59,bigbasket.com/pd/40350297/fresho-kiwi-green-imported-2-pcs/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=10&t_s=Kiwi%2520-%2520Green%252C%2520Imported
