Name,Quantity,Discount,Price,Link
Cucumber - Mangalore,N/A,12% OFF,₹38.72,bigbasket.com/pd/40224096/fresho-cucumber-mangalore-1-pc-approx-500-1000-gm/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=30&t_s=Cucumber%2520-%2520Mangalore
Avocado Imported - Small,N/A,53% OFF,₹65,bigbasket.com/pd/40132831/fresho-avocado-imported-small-1-pc/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=31&t_s=Avocado%2520Imported%2520-%2520Small
Potato Carisma - Lower Glycemic Index,N/A,24% OFF,₹50.16,bigbasket.com/pd/40231072/fresho-potato-carisma-lower-glycemic-index-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=32&t_s=Potato%2520Carisma%2520-%2520Lower%2520Glycemic%2520Index
Banana - Karpooravalli,1 kg,24% OFF,₹69.92,bigbasket.com/pd/60000058/fresho-banana-karpooravalli-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=33&t_s=Banana%2520-%2520Karpooravalli
Chrysanthemum/Shevathi Flowers - White,250 g,24% OFF,₹25.08,bigbasket.com/pd/40240450/fresho-chrysanthemumshevathi-flowers-white-fresh-fragrant-250-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=34&t_s=Chrysanthemum%252FShevathi%2520Flowers%2520-%2520White
Beans - Cluster,500 g,24% OFF,₹37.24,bigbasket.com/pd/10000041/fresho-beans-cluster-500-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=35&t_s=Beans%2520-%2520Cluster
Green Cleaned Amaranthus - Without roots,500 g,24% OFF,₹66.12,bigbasket.com/pd/10000002/fresho-amaranthus-green-cleaned-without-roots-500-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=36&t_s=Green%2520Cleaned%2520Amaranthus%2520-%2520Without%2520roots
Bottle Gourd - Organically Grown,N/A,N/A,₹34.45,bigbasket.com/pd/50000468/fresho-bottle-gourd-organically-grown-1-pc/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=37&t_s=Bottle%2520Gourd%2520-%2520Organically%2520Grown
Pomegranate - Peeled,200 g,20% OFF,₹129.6,bigbasket.com/pd/40005823/fresho-pomegranate-peeled-200-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=38&t_s=Pomegranate%2520-%2520Peeled
Crimson Grapes - Seedless,250 g,32% OFF,₹162,bigbasket.com/pd/40354086/fresho-crimson-grapes-seedless-250-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=39&t_s=Crimson%2520Grapes%2520-%2520Seedless
Red Flesh Dragon Fruit,N/A,12% OFF,₹91.52,bigbasket.com/pd/40113536/fresho-dragon-fruit-red-flesh-1-pc/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=40&t_s=Red%2520Flesh%2520Dragon%2520Fruit
Watermelon - Medium,N/A,20% OFF,₹151.2,bigbasket.com/pd/40103540/fresho-watermelon-medium-1-pc/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=41&t_s=Watermelon%2520-%2520%2520Medium
Dill Leaves,1 kg,N/A,₹132,bigbasket.com/pd/10000328/fresho-dill-leaves-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=42&t_s=Dill%2520Leaves
"Banana - Nendran, Organically Grown",1 kg,20% OFF,₹100,bigbasket.com/pd/40229396/fresho-banana-nendran-organically-grown-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=43&t_s=Banana%2520-%2520Nendran%252C%2520Organically%2520Grown
Ash Gourd,N/A,12% OFF,₹132.88,bigbasket.com/pd/40004004/fresho-ash-gourd-1-pc/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=44&t_s=Ash%2520Gourd
Zucchini - Green,1 pc,24% OFF,₹38.52,bigbasket.com/pd/40211815/fresho-zucchini-green-1-pc/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=45&t_s=Zucchini%2520-%2520Green
Banana Leaf,N/A,12% OFF,₹28.16,bigbasket.com/pd/20003403/fresho-banana-leaf-5-pcs/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=46&t_s=Banana%2520Leaf
Green Chilli - Small,1 kg,20% OFF,₹91.2,bigbasket.com/pd/20003764/fresho-chilli-green-short-hot-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=47&t_s=Green%2520Chilli%2520-%2520Small
Basale Leaf,N/A,24% OFF,₹20.52,bigbasket.com/pd/20000756/fresho-basale-leaf-250-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=48&t_s=Basale%2520Leaf
Shimla Apple,N/A,20% OFF,₹39.2,bigbasket.com/pd/40122822/fresho-apple-shimla-1-pc/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=1&t_s=Shimla+Apple
Thai Guava - White Centre,N/A,24% OFF,₹63.08,bigbasket.com/pd/30002322/fresho-guava-thai-1-pc/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=2&t_s=Thai+Guava+-+White+Centre
Tomato - Cherry,N/A,24% OFF,₹28.12,bigbasket.com/pd/10000198/fresho-tomato-cherry-250-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=3&t_s=Tomato+-+Cherry
Ooty Potato - Medium,N/A,12% OFF,₹119.68,bigbasket.com/pd/40021628/fresho-ooty-potato-medium-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=4&t_s=Ooty%2520Potato%2520-%2520Medium
Fresh Turmeric,1 kg,24% OFF,₹139.08,bigbasket.com/pd/40004372/fresho-turmeric-fresh-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=5&t_s=Fresh%2520Turmeric
Forest Bitter Gourd,1 kg,12% OFF,₹109.12,bigbasket.com/pd/20003767/fresho-bitter-gourd-forest-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=6&t_s=Forest%2520Bitter%2520Gourd
Watermelon - Organically Grown,N/A,20% OFF,₹116.8,bigbasket.com/pd/40023482/fresho-watermelon-organically-grown-1-pc-approx-1-3-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=7&t_s=Watermelon%2520-%2520Organically%2520Grown
Mushrooms - Oyster,N/A,12% OFF,₹68.64,bigbasket.com/pd/40020768/fresho-mushrooms-oyster-200-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=8&t_s=Mushrooms%2520-%2520Oyster
Apple - Organically Grown Small,N/A,55% OFF,₹119,bigbasket.com/pd/40319277/fresho-baby-apple-organically-grown-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=9&t_s=Apple%2520-%2520Organically%2520Grown%2520Small
"Apple - Red Delicious, Premium",N/A,20% OFF,₹206.4,bigbasket.com/pd/40104709/fresho-apple-red-delicious-premium-4-pcs/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=10&t_s=Apple%2520-%2520Red%2520Delicious%252C%2520Premium
Pak Choi,250 g,N/A,₹60.27,bigbasket.com/pd/10000157/fresho-pak-choi-250-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=11&t_s=Pak%2520Choi
Pear - Beauty,N/A,36% OFF,₹108,bigbasket.com/pd/40174618/fresho-pear-beauty-2-pcs/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=12&t_s=Pear%2520-%2520Beauty
Broccoli Florets,N/A,20% OFF,₹163.2,bigbasket.com/pd/40016101/fresho-broccoli-florets-200-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=13&t_s=Broccoli%2520Florets
Italian Basil,1 kg,N/A,₹250.68,bigbasket.com/pd/10000314/fresho-basil-italian-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=14&t_s=Italian%2520Basil
Banana - Red,1 kg,45% OFF,₹98,bigbasket.com/pd/10000582/fresho-banana-red-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=15&t_s=Banana%2520-%2520Red
Sambar Onion - Peeled (Small Onion),N/A,20% OFF,₹32,bigbasket.com/pd/40005819/fresho-sambar-onion-peeled-small-onion-200-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=16&t_s=Sambar%2520Onion%2520-%2520Peeled%2520%2528Small%2520Onion%2529
Zespri Kiwi - Sun Gold,3 pcs - Approx. 220 g - 260 g,12% OFF,₹216.48,bigbasket.com/pd/40025342/fresho-zespri-kiwi-sun-gold-3-pcs/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=17&t_s=Zespri%2520Kiwi%2520-%2520Sun%2520Gold
Papaya - Large,N/A,20% OFF,₹148.8,bigbasket.com/pd/40329345/fresho-papaya-large-1-pc/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=18&t_s=Papaya%2520-%2520Large
Persimmon /Amarphal,500 g,24% OFF,₹200.64,bigbasket.com/pd/30001529/fresho-persimmon-amarphal-500-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=19&t_s=Persimmon%2520%252FAmarphal
Coconut - Diced,N/A,20% OFF,₹63.2,bigbasket.com/pd/40019379/fresho-coconut-diced-150-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=20&t_s=Coconut%2520-%2520Diced
Orange - Imported,6 pcs - (Approx. 900 g - 1000 g),24% OFF,₹212.8,bigbasket.com/pd/20000910/fresho-orange-imported-6-pcs/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=21&t_s=Orange%2520-%2520Imported
Garlic - Organically Grown,1 kg,N/A,₹316.44,bigbasket.com/pd/40029982/fresho-garlic-organically-grown-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=22&t_s=Garlic%2520-%2520Organically%2520Grown
Lettuce - Green,1 pc - (Approx. 100 g - 250 g),24% OFF,₹24.32,bigbasket.com/pd/20000923/fresho-lettuce-green-1-pc/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=23&t_s=Lettuce%2520-%2520Green
Broccoli,N/A,20% OFF,₹91.2,bigbasket.com/pd/10000063/fresho-broccoli-1-pc/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=24&t_s=Broccoli
Cauliflower - Organically Grown,N/A,N/A,₹39.18,bigbasket.com/pd/50000482/fresho-cauliflower-organically-grown-1-pc-approx-300-13-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=25&t_s=Cauliflower%2520-%2520Organically%2520Grown
Tulsi Leaves,1 kg,N/A,₹175.34,bigbasket.com/pd/30006463/fresho-tulsi-leaves-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=26&t_s=Tulsi%2520Leaves
Kashmir Apple - Regular,N/A,12% OFF,₹187.44,bigbasket.com/pd/40319284/fresho-apple-kashmir-regular-4-pcs/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=27&t_s=Kashmir%2520Apple%2520-%2520Regular
Fresh Figs,1 kg,N/A,₹328.77,bigbasket.com/pd/20001006/fresho-fresh-figs-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=28&t_s=Fresh%2520Figs
Avocado,1 kg,N/A,₹571.23,bigbasket.com/pd/10000312/fresho-avocado-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=29&t_s=Avocado
Kinnaur Apple - Regular,N/A,20% OFF,₹87.2,bigbasket.com/pd/40033821/fresho-apple-kinnaur-4-pcs/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=30&t_s=Kinnaur%2520Apple%2520-%2520Regular
Mango Leaves,N/A,12% OFF,₹18.48,bigbasket.com/pd/40232206/fresho-mango-bunches-used-to-decorate-for-festivals-puja-2-pcs/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=31&t_s=Mango%2520Leaves
"Apple - Shimla, Premium",N/A,41% OFF,₹132,bigbasket.com/pd/40113206/fresho-apple-shimla-premium-4-pcs/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=32&t_s=Apple%2520-%2520Shimla%252C%2520Premium
Bitter Gourd - Organically Grown,1 kg,20% OFF,₹71.2,bigbasket.com/pd/50000467/fresho-bitter-gourd-organically-grown-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=33&t_s=Bitter%2520Gourd%2520-%2520Organically%2520Grown
Ash Gourd - Cut,500 g,N/A,₹132,bigbasket.com/pd/40050704/fresho-ash-gourd-cut-500-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=34&t_s=Ash%2520Gourd%2520-%2520Cut
Papaya - Diced,N/A,20% OFF,₹57.6,bigbasket.com/pd/40019380/fresho-papaya-diced-200-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=35&t_s=Papaya%2520-%2520Diced
"Capsicum - Yellow, Organically Grown",N/A,N/A,₹43.84,bigbasket.com/pd/40124626/fresho-capsicum-yellow-organically-grown-1-pc/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=36&t_s=Capsicum%2520-%2520Yellow%252C%2520Organically%2520Grown
"Apple - Red Delicious, Regular",N/A,20% OFF,₹188,bigbasket.com/pd/40033824/fresho-apple-red-delicious-regular-4-pcs/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=37&t_s=Apple%2520-%2520Red%2520Delicious%252C%2520Regular
"Avocado - Imported, Large",N/A,20% OFF,₹131.2,bigbasket.com/pd/40132830/fresho-avocado-imported-large-1-pc/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=38&t_s=Avocado%2520-%2520Imported%252C%2520Large
Raw Mango,250 g,24% OFF,₹25.08,bigbasket.com/pd/40004384/fresho-raw-mango-250-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=39&t_s=Raw%2520Mango
"Leaf - Betel, with Arracknut, Pan Supari",N/A,12% OFF,₹55.44,bigbasket.com/pd/40017831/fresho-leaf-betel-with-arracknut-pan-supari-10-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=40&t_s=Leaf%2520-%2520Betel%252C%2520with%2520Arracknut%252C%2520Pan%2520Supari
Pineapple - Sliced,N/A,20% OFF,₹115.2,bigbasket.com/pd/40090775/fresho-pineapple-slices-200-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=41&t_s=Pineapple%2520-%2520Sliced
Rajnigandha - Loose,N/A,12% OFF,₹51.92,bigbasket.com/pd/40322793/hoovu-fresh-rajnigandha-loose-100-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=42&t_s=Rajnigandha%2520-%2520Loose
"Apple - Green, Regular",N/A,12% OFF,₹248.16,bigbasket.com/pd/40033817/fresho-apple-green-regular-4-pcs-approx500g-650g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=43&t_s=Apple%2520-%2520Green%252C%2520Regular
Cleaned Gongura Leaves/Pulicha - Without roots,N/A,20% OFF,₹9.6,bigbasket.com/pd/20000991/fresho-gongura-leavespulicha-cleaned-without-roots-100-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=44&t_s=Cleaned%2520Gongura%2520Leaves%252FPulicha%2520-%2520Without%2520roots
Double Beans,1 kg,N/A,₹247.95,bigbasket.com/pd/10000664/fresho-beans-double-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=45&t_s=Double%2520Beans
Beans/Avare,1 kg,N/A,₹172.6,bigbasket.com/pd/20002696/fresho-beans-avare-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=46&t_s=Beans%252FAvare
Plum - Imported,1 kg,24% OFF,₹301.72,bigbasket.com/pd/10000573/fresho-plum-imported-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=47&t_s=Plum%2520-%2520Imported
Paneer Roses,N/A,12% OFF,₹58.96,bigbasket.com/pd/40322789/hoovu-fresh-paneer-roses-100-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=48&t_s=Paneer%2520Roses
